FileName;Group;ShortName
GSM3355712_P2122-03-BC0911-U133Plus-2.cel;MM;MM215
GSM3355713_P2149-03-BC1126-U133Plus-2.cel;MM;MM216
GSM3355715_P2263-01-BC1904-U133Plus-2.cel;MM;MM217
GSM3355717_P2187-00-BC0585-U133Plus-2.cel;MM;MM218
GSM3355718_P2155-00-BC1076-U133Plus-2.cel;MM;MM219
GSM3355719_P2107-03-BC0316-U133Plus-2.cel;MM;MM220
GSM3355720_P2102-05-BC0673-U133Plus-2.cel;MM;MM221
GSM3355721_P2088-04-BC0557-U133Plus-2.cel;MM;MM222
GSM3355722_P2177-00-BC1314-U133Plus-2.cel;MM;MM223
GSM3355723_P2289-00-BC1939-U133Plus-2.cel;MM;MM224
GSM3355724_P2238-02-BC1155-U133Plus-2.cel;MM;MM225
GSM3355725_P2086-00-BC0443-U133Plus-2.cel;MM;MM226
GSM3355726_P2304-00-BC1817-U133Plus-2.cel;MM;MM227
GSM3355727_P2296-00-BC1755-U133Plus-2.cel;MM;MM228
GSM3355728_P1715-00-BS6534-U133Plus-2.txt;MM;MM229
GSM3355729_P2166-00-BC1157-U133Plus-2.cel;MM;MM230
GSM3355730_P2224-05-BC1556-U133Plus-2.cel;MM;MM231
GSM3355731_P0996-02-BS1634-U133Plus-2.txt;MM;MM232
GSM3355732_P1967-00-BS9226-U133Plus-2.cel;MM;MM233
GSM3355733_P2243-04-BC1690-U133Plus-2.cel;MM;MM234
GSM3355734_P2346-00-BC2524-U133Plus-2.cel;MM;MM235
GSM3355735_P2240-02-BC0518-U133Plus-2.cel;MM;MM236
GSM3355737_P2278-06-BC2098-U133Plus-2.cel;MM;MM237
GSM3355739_P2275-03-BC2068-U133Plus-2.cel;MM;MM238
GSM3355743_P2129-02-BC0667-U133Plus-2.cel;MM;MM239
GSM3355745_P2382-01-BC9602-U133Plus-2.cel;MM;MM240
GSM3355746_P1969-07-BC0940-U133Plus-2.cel;MM;MM241
GSM3355748_P2317-07-BC2251-U133Plus-2.cel;MM;MM242
GSM3355749_P2361-02-BC2612-U133Plus-2.cel;MM;MM243
GSM3355754_P2407-01-BC3154-U133Plus-2.cel;MM;MM244
GSM3355758_P2044-03-BS9549-U133Plus-2.cel;MM;MM245
GSM3355759_P2154-03-BC0802-U133Plus-2.cel;MM;MM246
GSM3355762_P2199-02-BC0609-U133Plus-2.cel;MM;MM247
GSM3355763_P2366-08-BC2696-U133Plus-2.cel;MM;MM248
GSM3355764_P2152-02-BC1040-U133Plus-2.cel;MM;MM249
GSM3355765_P2563-01-BC2962-U133Plus-2.cel;HD;HD3
GSM3355766_P2561-01-BC2959-U133Plus-2.cel;HD;HD4
GSM3355767_P2560-01-BC2961-U133Plus-2.cel;HD;HD5
GSM3355768_P2562-01-BC4069-U133Plus-2.cel;HD;HD6
GSM3355769_P2622-01-BC4632-U133Plus-2.cel;HD;HD7
GSM3355771_P2355-05-BC2595-U133Plus-2.cel;MM;MM250
GSM3355772_P2413-09-BC2881-U133Plus-2.cel;MM;MM251
GSM3355773_P2283-04-BC2110-U133Plus-2.cel;MM;MM252
GSM3355776_P2596-02-BC3988-U133Plus-2.cel;MM;MM253
GSM3355777_P2537-04-BC3971-U133Plus-2.cel;MM;MM254
GSM3355778_P2658-02-BC4308-U133Plus-2.cel;MM;MM255
GSM3355779_P2551-04-BC4180-U133Plus-2.cel;MM;MM256
GSM3355780_P2576-03-BC4262-U133Plus-2.cel;MM;MM257
GSM3355781_P2597-02-BC3793-U133Plus-2.cel;MM;MM258
GSM3355783_P2480-04-BC3790-U133Plus-2.cel;MM;MM259
GSM3355784_P2516-04-BC3989-U133Plus-2.cel;MM;MM260
GSM3355785_P2485-03-BC3797-U133Plus-2.cel;MM;MM261
GSM3355786_P2751-01-BC4100-U133Plus-2.cel;MM;MM262
GSM3355787_P2494-08-BC3279-U133Plus-2.cel;MM;MM263
GSM3355788_P2513-11-BC4173-U133Plus-2.cel;MM;MM264
GSM3355797_P2584-04-BC4410-U133Plus-2.cel;MM;MM265
GSM3355806_P2548-04-BC4287-U133Plus-2.cel;MM;MM266
GSM3355808_P2778-03-BC6500-U133Plus-2.CEL;MM;MM267
GSM3355809_P2796-02-BC6478-U133Plus-2.CEL;MM;MM268
GSM3355810_P2471-08-BC3503-U133Plus-2.CEL;MM;MM269
GSM3355811_P2696-03-BC3742-U133Plus-2.CEL;MM;MM270
GSM3355812_P2726-04-BC6063-U133Plus-2.CEL;MM;MM271
GSM3355814_P2708-05-BC5956-U133Plus-2.CEL;MM;MM272
GSM3355815_P2589-03-BC4686-U133Plus-2.CEL;MM;MM273
GSM3355816_P1759-02-BS6906-U133Plus-2.CEL;MM;MM274
GSM3355817_P2763-07-BC6406-U133Plus-2.CEL;MM;MM275
GSM3355818_P2755-05-BC6315-U133Plus-2.CEL;MM;MM276
GSM3355819_P2693-05-BC5344-U133Plus-2.CEL;MM;MM277
GSM3355820_P2642-04-BC4853-U133Plus-2.CEL;MM;MM278
GSM3355821_P2587-03-BC4411-U133Plus-2.CEL;MM;MM279
GSM3355822_P2469-09-BC3718-U133Plus-2.CEL;MM;MM280
GSM3355823_P2987-04-BC8286-U133Plus-2.CEL;MM;MM281
GSM3355824_P2602-02-BC4615-U133Plus-2.CEL;MM;MM282
GSM3355825_P2308-04-BC2148-U133Plus-2.CEL;MM;MM283
GSM3355826_P2898-04-BC7504B-U133Plus-2.CEL;MM;MM284
GSM3355827_P2100-06-BC0279-U133Plus-2.CEL;MM;MM285
GSM3355828_Normal-BC8404-U133Plus-2.CEL;HD;HD8
GSM3355829_Normal-BC7961A-U133Plus-2.CEL;HD;HD9
GSM3355830_Normal-BC8405-U133Plus-2.CEL;HD;HD10
GSM3355831_Normal-BC8184-U133Plus-2.CEL;HD;HD11
GSM3355832_P2594-06-BC7498-U133Plus-2.CEL;MM;MM286
GSM3355833_P2788-04-BC6577-U133Plus-2.CEL;MM;MM287
GSM3355834_P2840-07-BC7003-U133Plus-2.CEL;MM;MM288
GSM3355835_P2814-04-BC6766-U133Plus-2.CEL;MM;MM289
GSM3355836_P2652-04-BC4898-U133Plus-2.CEL;MM;MM290
GSM3355837_P2804-04-BC6749-U133Plus-2.CEL;MM;MM291
GSM3355838_P2841-05-BC7027-U133Plus-2.CEL;MM;MM292
GSM3355839_P2867-06-BC7190-U133Plus-2.CEL;MM;MM293
GSM3355840_P2838-06-BC7029-U133Plus-2.CEL;MM;MM294
GSM3355841_P2823-08-BC6860-U133Plus-2.txt;MM;MM295
GSM3355842_P2824-04-BC6694B-U133Plus-2.CEL;MM;MM296
GSM3355843_P2525-07-BC6900B-U133Plus-2.CEL;MM;MM297
GSM3355844_P2799-04-BC6687-U133Plus-2.CEL;MM;MM298
GSM3355845_P2707-10-BC5959-U133Plus-2.CEL;MM;MM299
GSM3355846_P1632-11-BC12719-U133Plus-2.CEL;MM;MM300
GSM3355848_P3823-02-BC15970-U133Plus-2.CEL;MM;MM301
GSM3355849_P3945-01-BC17297-U133Plus-2.CEL;MM;MM302
GSM3355850_P4003-03-BC18194-U133Plus-2.CEL;MM;MM303
GSM3355851_RE12-000041.CEL;HD;HD12
GSM3355852_RE12-000042.CEL;HD;HD13
GSM3355853_RE12-000043.CEL;HD;HD14
GSM3355854_RE12-000044.CEL;HD;HD15
GSM3355855_RE12-000045.CEL;HD;HD16
GSM3355856_RE12-000046.CEL;HD;HD17
GSM3355857_RE12-000047.CEL;HD;HD18
GSM3355858_RE12-000048.CEL;HD;HD19
GSM3355859_RE12-000049.CEL;HD;HD20
GSM3355860_RE12-000050.CEL;HD;HD21
GSM3355861_RE12-000051.CEL;HD;HD22
GSM3355862_RE12-000052.CEL;HD;HD23
GSM3355863_RE12-000053.CEL;HD;HD24
GSM3355864_RE12-000054.CEL;HD;HD25
GSM3355865_RE12-000055.CEL;HD;HD26
GSM3355866_RE12-000056.CEL;HD;HD27
GSM3355867_RE12-000057.CEL;HD;HD28
GSM3355868_RE12-000061.CEL;MM;MM304
GSM3355869_RE12-000060.CEL;MM;MM305
GSM3355870_NBX-BC12867-U133Plus-2.CEL;HD;HD29
GSM3355871_NBX-BC12866-U133Plus-2.CEL;HD;HD30
GSM3355872_NBX-BC3060-U133Plus-2.CEL;HD;HD31
GSM3355873_NBX-BC16861-U133Plus-2.CEL;HD;HD32
GSM3355874_NBX-BC17352-U133Plus-2.CEL;HD;HD33
GSM3355876_RE12-000137.CEL;MM;MM306
GSM3355877_RE12-000138.CEL;MM;MM307
GSM3355880_RE12-000141.CEL;MM;MM308
GSM3355884_RE12-000145.CEL;MM;MM309
GSM3355885_RE12-000146.CEL;MM;MM310
GSM3355888_RE12-000149.CEL;MM;MM311
GSM3355889_RE12-000150.CEL;MM;MM312
GSM3355890_RE12-000151.CEL;MM;MM313
GSM3355894_RE12-000155.CEL;MM;MM314
GSM3355895_RE12-000112MAS5.TXT;MM;MM315
GSM3355896_RE12-000114MAS5.TXT;MM;MM316
GSM3355899_RE12-000118MAS5.TXT;MM;MM317
GSM3355901_RE12-000120MAS5.TXT;MM;MM318
GSM3355902_RE12-000121MAS5.TXT;MM;MM319
GSM3355903_RE12-000123MAS5.TXT;MM;MM320
GSM3355904_RE12-000124MAS5.TXT;MM;MM321
GSM3355905_RE12-000125MAS5.TXT;MM;MM322
GSM3355906_RE12-000126MAS5.TXT;MM;MM323
GSM3355910_RE12-000111MAS5.TXT;MM;MM324
GSM3355911_RE12-000229.CEL;MM;MM325
GSM3355913_RE12-000231.CEL;MM;MM326
GSM3355917_RE12-000236.CEL;MM;MM327
GSM3355920_RE12-000240.CEL;MM;MM328
GSM3355925_RE12-000248.CEL;MM;MM329
GSM3355931_RE12-000254.CEL;MM;MM330
GSM3355934_RE12-000108MAS5.TXT;MM;MM331
GSM3355935_RE12-000109MAS5.TXT;MM;MM332
GSM3355936_RE12-000110MAS5.TXT;MM;MM333
GSM3355941_RE12-000386.CEL;HD;HD34
GSM3355960_P3931-01-BC17214-U133Plus-2.CEL;MM;MM334
GSM3355961_BI12-000510.CEL;HD;HD35
GSM3355962_BI12-000512.CEL;MM;MM335
GSM3355963_BI12-000513.CEL;MM;MM336
GSM3355964_BI12-000497.CEL;HD;HD36
